시군구코드,지정년도,지정일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호,도로명주소,위도,경도,지정월,면적분류,구
3030000,2022,2022-01-18,천미향,서울특별시 성동구 성수일로10길 26 2층 216217218219호 (성수동2가),서울특별시 성동구 성수동2가  284번지 62호  ,3030000-101-2019-00235,중국식,차돌짬뽕,225.7,성수2가제1동,0234994488,서울특별시 성동구 성수일로10길 26,37.5472982,127.0525683,1,중형음식점,성동구
3030000,2022,2022-01-18,주)비사벌,서울특별시 성동구 왕십리로6길 1-2 1층 (성수동1가),서울특별시 성동구 성수동1가  656번지 448호  ,3030000-101-1997-04422,한식,콩나물국밥,135.6,성수1가제1동,02 4629202,서울특별시 성동구 왕십리로6길 1-2,37.5450789,127.0484132,1,중형음식점,성동구
3030000,2022,2022-01-18,동해루,서울특별시 성동구 고산자로8길 26 1층 (행당동),서울특별시 성동구 행당동  128번지 456호  ,3030000-101-1988-03762,중국식,짜장면,110.88,사근동,0222925342,서울특별시 성동구 고산자로8길 26,37.5583743,127.0372087,1,중형음식점,성동구
3030000,2022,2022-01-18,참진한순대국,서울특별시 성동구 사근동길 56 (사근동(1층)),서울특별시 성동구 사근동  176번지 10호  (1층),3030000-101-2005-00040,김밥(도시락),순대국,45.5,사근동,0222992750,서울특별시 성동구 사근동길 56,37.5609,127.04555,1,소형음식점,성동구
3030000,2022,2022-01-18,맛남의광장(본점),서울특별시 성동구 마조로5길 5 (행당동),서울특별시 성동구 행당동  19번지 48호  ,3030000-101-1989-05282,한식,샤브샤브,79.56,사근동,0222942020,서울특별시 성동구 마조로5길 5,37.5603812,127.0400004,1,소형음식점,성동구
3030000,2022,2022-01-18,메밀촌 봉평막국수,서울특별시 성동구 독서당로48길 8-1 (금호동4가),서울특별시 성동구 금호동4가  677번지 1호  ,3030000-101-2001-06916,분식,막국수,33.2,금호4가동,0222827270,서울특별시 성동구 독서당로48길 8-1,37.5477018,127.0222032,1,소형음식점,성동구
3030000,2022,2022-01-18,남원추어탕,서울특별시 성동구 용답중앙11길 13 (용답동),서울특별시 성동구 용답동  96번지 8호  ,3030000-101-1978-05891,한식,추어탕,135.6,용답동,0222134024,서울특별시 성동구 용답중앙11길 13,37.5652331,127.0515625,1,중형음식점,성동구
3030000,2022,2022-01-18,민정식당 서울숲직영점,서울특별시 성동구 상원길 51 12층 (성수동1가),서울특별시 성동구 성수동1가  656번지 387호  ,3030000-101-2016-00183,한식,설렁탕,141.95,성수1가제2동,000206443838,서울특별시 성동구 상원길 51,37.5489341,127.0480988,1,중형음식점,성동구
3030000,2022,2022-01-18,라리에또,서울특별시 성동구 사근동길 12 (행당동(지상1층)),서울특별시 성동구 행당동  16번지 12호  (지상1층),3030000-101-2006-00071,경양식,스파게티,51.76,사근동,0222819241,서울특별시 성동구 사근동길 12,37.5609,127.04555,1,소형음식점,성동구
3030000,2022,2022-01-18,다현목포낙지,서울특별시 성동구 왕십리로24길 9 (도선동지상1층),서울특별시 성동구 도선동  201번지 6호  지상1층,3030000-101-1995-05722,한식,연포탕,89.82,왕십리도선동,02  22984550,서울특별시 성동구 왕십리로24길 9,37.565572,127.0345437,1,소형음식점,성동구
