,모범음식점(개),평균생활인구(명)
강남구,331,836513.2689790863
송파구,328,768384.50562912
은평구,171,449177.92515777587
서초구,168,597369.796950298
중구,160,316234.5147550628
강서구,151,557281.7687900721
성동구,139,362106.6052532099
광진구,135,395359.00950145564
용산구,131,313672.76518960914
관악구,125,508345.6307552618
서대문구,123,394908.2921262076
중랑구,119,363524.0033457981
마포구,117,488920.1679478491
동작구,107,412089.690716612
영등포구,99,510186.165029914
성북구,96,444303.22799940355
노원구,94,524760.9135784918
강동구,93,504742.4371231626
종로구,93,314162.7465934482
양천구,86,398622.585386896
강북구,84,305210.24263315665
구로구,78,424916.3725379883
금천구,66,240557.74159245548
동대문구,58,385044.8307927199
도봉구,44,285434.34495228337
